hr,seconds,timestamp,process
68,43996,2022-03-29 08:55:19.471595,10
67,980530,2022-03-29 08:55:20.408119,10
67,642177,2022-03-29 08:55:21.069765,10
63,485502,2022-03-29 08:55:21.913091,11
72,368717,2022-03-29 08:55:22.796305,11
63,758025,2022-03-29 08:55:25.185615,10
59,779438,2022-03-29 08:55:25.966857,10
59,642919,2022-03-29 08:55:26.830337,10
62,405243,2022-03-29 08:55:27.592663,10
61,833512,2022-03-29 08:55:30.020932,10
76,274168,2022-03-29 08:55:30.461587,10
70,677866,2022-03-29 08:55:31.865285,10
61,389732,2022-03-29 08:55:33.256377,10
66,690266,2022-03-29 08:55:34.556911,10
43,53851,2022-03-29 08:55:35.920496,10
51,838990,2022-03-29 08:55:36.705635,10
59,639178,2022-03-29 08:55:37.505823,10
72,263872,2022-03-29 08:55:38.130517,10
83,944263,2022-03-29 08:55:38.810908,10
84,686177,2022-03-29 08:55:39.552821,9
85,440163,2022-03-29 08:55:40.306808,9
81,191184,2022-03-29 08:55:41.057829,10
80,722141,2022-03-29 08:55:41.782514,9
81,423001,2022-03-29 08:55:42.483375,10
79,225039,2022-03-29 08:55:43.285412,10
81,952895,2022-03-29 08:55:44.013269,10
80,710541,2022-03-29 08:55:44.770915,10
77,494847,2022-03-29 08:55:45.555221,10
78,759290,2022-03-29 08:55:46.315919,10
77,542707,2022-03-29 08:55:47.099336,10
75,387399,2022-03-29 08:55:47.944027,10
74,187117,2022-03-29 08:55:48.743746,10
75,919065,2022-03-29 08:55:49.475693,9
65,656598,2022-03-29 08:55:51.213227,10
70,666688,2022-03-29 08:55:51.881304,10
72,382709,2022-03-29 08:55:52.597325,9
72,108261,2022-03-29 08:55:53.322877,10
82,889924,2022-03-29 08:55:54.104540,10
82,570267,2022-03-29 08:55:54.784883,10
76,573982,2022-03-29 08:55:55.788598,10
72,885540,2022-03-29 08:55:56.675558,10
72,653525,2022-03-29 08:55:57.443542,10
65,647423,2022-03-29 08:55:58.437441,10
67,570357,2022-03-29 08:55:59.360375,10
65,577464,2022-03-29 08:56:00.367496,10
66,298235,2022-03-29 08:56:01.088264,9
68,894394,2022-03-29 08:56:01.985383,11
71,669352,2022-03-29 08:56:02.760346,10
76,416510,2022-03-29 08:56:03.507513,10
72,318171,2022-03-29 08:56:04.409168,11
71,263378,2022-03-29 08:56:05.354370,10
72,19145,2022-03-29 08:56:06.110083,10
72,717033,2022-03-29 08:56:06.834004,10
73,550635,2022-03-29 08:56:07.667624,10
72,565024,2022-03-29 08:56:08.682052,11
71,361836,2022-03-29 08:56:09.478864,11
69,163601,2022-03-29 08:56:10.280572,10
69,8902,2022-03-29 08:56:11.125931,11
71,914312,2022-03-29 08:56:12.048763,10
75,577997,2022-03-29 08:56:12.712400,11
74,419905,2022-03-29 08:56:13.554303,11
77,144755,2022-03-29 08:56:14.279629,10
71,571368,2022-03-29 08:56:15.705822,10
69,307409,2022-03-29 08:56:16.441819,10
71,719410,2022-03-29 08:56:17.166992,9
88,433116,2022-03-29 08:56:21.880621,10
84,562582,2022-03-29 08:56:24.010157,11
82,426070,2022-03-29 08:56:24.873643,11
82,144704,2022-03-29 08:56:25.592213,10
65,871086,2022-03-29 08:56:26.318662,10
79,691911,2022-03-29 08:56:27.020242,10
81,497309,2022-03-29 08:56:27.825661,10
84,117240,2022-03-29 08:56:28.445589,10
87,740379,2022-03-29 08:56:29.068730,10
85,522293,2022-03-29 08:56:29.850594,9
91,149707,2022-03-29 08:56:30.478062,10
78,267428,2022-03-29 08:56:31.755741,10
70,186168,2022-03-29 08:56:32.674446,10
73,890172,2022-03-29 08:56:33.378450,10
65,771718,2022-03-29 08:56:34.259996,11
75,474798,2022-03-29 08:56:34.963076,10
78,270258,2022-03-29 08:56:35.758536,10
76,754146,2022-03-29 08:56:36.514242,10
80,473586,2022-03-29 08:56:37.233669,10
78,260154,2022-03-29 08:56:38.020305,11
77,56326,2022-03-29 08:56:38.816399,10
78,789935,2022-03-29 08:56:39.550074,10
75,626706,2022-03-29 08:56:40.386798,11
73,892787,2022-03-29 08:56:41.286685,10
76,606919,2022-03-29 08:56:42.000879,11
74,381521,2022-03-29 08:56:42.775439,10
77,103663,2022-03-29 08:56:43.497623,9
74,165917,2022-03-29 08:56:44.559836,10
71,972189,2022-03-29 08:56:45.366112,10
73,714089,2022-03-29 08:56:46.086791,9
63,167351,2022-03-29 08:56:47.540011,10
70,883768,2022-03-29 08:56:48.256471,10
67,803861,2022-03-29 08:56:49.176545,10
56,369369,2022-03-29 08:56:50.742007,10
63,249984,2022-03-29 08:56:51.622645,10
60,835309,2022-03-29 08:56:52.464779,11
68,468669,2022-03-29 08:56:53.098130,10
73,440760,2022-03-29 08:56:54.070220,10
78,122270,2022-03-29 08:56:54.751720,10
67,354734,2022-03-29 08:56:56.984253,10
68,957513,2022-03-29 08:56:57.586996,10
65,227732,2022-03-29 08:57:01.821217,10
63,20492,2022-03-29 08:57:05.613983,10
72,984153,2022-03-29 08:57:06.577637,10
56,751235,2022-03-29 08:57:08.344715,10
62,531171,2022-03-29 08:57:09.124591,10
52,139321,2022-03-29 08:57:10.732777,10
59,627998,2022-03-29 08:57:11.398544,10
72,305725,2022-03-29 08:57:12.076250,11
72,105610,2022-03-29 08:57:12.876113,10
80,936132,2022-03-29 08:57:13.706674,11
76,754750,2022-03-29 08:57:14.525299,11
75,475776,2022-03-29 08:57:15.246320,10
74,836605,2022-03-29 08:57:16.091672,10
75,631677,2022-03-29 08:57:16.886727,10
73,536732,2022-03-29 08:57:17.791797,11
70,383871,2022-03-29 08:57:18.638955,11
70,210449,2022-03-29 08:57:19.465529,11
71,974720,2022-03-29 08:57:20.229851,10
73,826972,2022-03-29 08:57:21.064303,11
70,813240,2022-03-29 08:57:22.050572,11
81,332510,2022-03-29 08:57:22.569840,10
78,196702,2022-03-29 08:57:23.434075,10
79,21054,2022-03-29 08:57:24.258428,11
83,784779,2022-03-29 08:57:25.022154,10
71,918785,2022-03-29 08:57:25.949175,11
78,525463,2022-03-29 08:57:26.555853,10
77,394205,2022-03-29 08:57:27.424545,11
77,163123,2022-03-29 08:57:28.193517,10
80,919823,2022-03-29 08:57:28.950171,10
78,582095,2022-03-29 08:57:29.612447,10
82,726264,2022-03-29 08:57:30.343990,10
81,506884,2022-03-29 08:57:31.124619,10
77,495848,2022-03-29 08:57:32.113627,10
76,168082,2022-03-29 08:57:32.785869,11
75,933728,2022-03-29 08:57:33.551460,11
74,731917,2022-03-29 08:57:34.349666,10
78,798448,2022-03-29 08:57:35.154145,10
75,602929,2022-03-29 08:57:35.958620,10
80,203043,2022-03-29 08:57:36.558737,10
87,134761,2022-03-29 08:57:40.490453,10
87,938884,2022-03-29 08:57:41.294576,10
89,689147,2022-03-29 08:57:42.044800,10
80,924821,2022-03-29 08:57:42.978717,10
68,970665,2022-03-29 08:57:44.024558,10
68,772325,2022-03-29 08:57:44.826176,10
69,476191,2022-03-29 08:57:45.530083,10
69,420655,2022-03-29 08:57:46.474545,10
74,222407,2022-03-29 08:57:47.276297,10
72,901118,2022-03-29 08:57:48.185785,10
76,477650,2022-03-29 08:57:48.762303,10
84,115928,2022-03-29 08:57:49.400540,10
84,899335,2022-03-29 08:57:50.183948,11
91,544506,2022-03-29 08:57:50.829168,10
82,429206,2022-03-29 08:57:51.713861,11
82,631956,2022-03-29 08:57:52.359950,10
80,508914,2022-03-29 08:57:53.236974,10
78,192540,2022-03-29 08:57:53.920554,11
83,882848,2022-03-29 08:57:54.610904,10
81,578732,2022-03-29 08:57:55.306784,10
83,377603,2022-03-29 08:57:56.105668,10
84,655129,2022-03-29 08:57:56.768258,11
83,363723,2022-03-29 08:57:57.476900,10
80,182915,2022-03-29 08:57:58.296102,11
81,942976,2022-03-29 08:57:59.056163,10
80,649234,2022-03-29 08:57:59.762411,10
78,405762,2022-03-29 08:58:00.518897,10
78,843119,2022-03-29 08:58:01.367050,10
86,386726,2022-03-29 08:58:01.910667,10
86,87557,2022-03-29 08:58:02.611502,10
84,906827,2022-03-29 08:58:03.430753,10
89,568991,2022-03-29 08:58:04.092977,10
81,332676,2022-03-29 08:58:04.856618,10
81,672037,2022-03-29 08:58:05.535081,11
83,438482,2022-03-29 08:58:06.301552,10
80,201066,2022-03-29 08:58:07.064149,10
82,910088,2022-03-29 08:58:07.773093,10
82,582754,2022-03-29 08:58:08.445766,11
80,424838,2022-03-29 08:58:09.287864,10
84,638773,2022-03-29 08:58:09.932897,10
81,426108,2022-03-29 08:58:10.720218,10
81,110314,2022-03-29 08:58:11.404479,10
87,759611,2022-03-29 08:58:12.053776,10
82,577465,2022-03-29 08:58:12.871662,11
86,212633,2022-03-29 08:58:13.506755,10
84,754846,2022-03-29 08:58:14.268122,10
82,460578,2022-03-29 08:58:14.973908,10
84,203903,2022-03-29 08:58:15.717236,10
84,835904,2022-03-29 08:58:16.349195,10
84,606837,2022-03-29 08:58:17.120113,10
85,272448,2022-03-29 08:58:17.785792,10
88,631275,2022-03-29 08:58:18.422810,10
90,213643,2022-03-29 08:58:19.005135,10
94,858175,2022-03-29 08:58:19.649710,10
94,520474,2022-03-29 08:58:20.312010,11
96,116662,2022-03-29 08:58:20.908154,10
91,842362,2022-03-29 08:58:21.633897,11
90,655195,2022-03-29 08:58:22.295898,11
89,359015,2022-03-29 08:58:22.999665,10
83,161059,2022-03-29 08:58:23.801754,10
79,28235,2022-03-29 08:58:24.668932,10
80,669200,2022-03-29 08:58:25.309900,10
68,279102,2022-03-29 08:58:26.919746,10
71,687677,2022-03-29 08:58:27.613831,10
73,431061,2022-03-29 08:58:28.357206,10
67,346493,2022-03-29 08:58:29.272708,10
77,97952,2022-03-29 08:58:30.024151,10
76,844910,2022-03-29 08:58:30.771105,10
72,774843,2022-03-29 08:58:31.701043,10
75,723746,2022-03-29 08:58:32.429958,10
76,447270,2022-03-29 08:58:33.153481,9
73,340846,2022-03-29 08:58:34.047003,10
78,49974,2022-03-29 08:58:34.756142,10
76,875616,2022-03-29 08:58:35.581823,10
76,600596,2022-03-29 08:58:36.306812,9
65,342458,2022-03-29 08:58:38.656629,10
65,59627,2022-03-29 08:58:39.373784,10
62,83493,2022-03-29 08:58:40.397627,10
62,56369,2022-03-29 08:58:44.370497,10
79,702014,2022-03-29 08:58:45.016199,10
70,944448,2022-03-29 08:58:46.258562,10
65,494235,2022-03-29 08:58:47.759047,10
54,7472,2022-03-29 08:58:49.272328,10
52,727221,2022-03-29 08:58:49.992054,9
61,406915,2022-03-29 08:58:50.671758,10
71,175244,2022-03-29 08:58:51.440071,10
79,15104,2022-03-29 08:58:52.279935,10
76,857052,2022-03-29 08:58:53.121937,10
73,685094,2022-03-29 08:58:53.949922,10
71,835685,2022-03-29 08:58:54.789877,10
74,535801,2022-03-29 08:58:55.489988,10
73,458823,2022-03-29 08:58:56.413005,10
75,184872,2022-03-29 08:58:57.139006,10
72,187622,2022-03-29 08:58:58.141808,10
77,770838,2022-03-29 08:58:58.725029,10
78,830416,2022-03-29 08:58:59.561479,10
75,702298,2022-03-29 08:59:00.433401,10
84,343381,2022-03-29 08:59:01.074488,9
74,270501,2022-03-29 08:59:02.001608,10
70,385637,2022-03-29 08:59:03.116738,10
79,948038,2022-03-29 08:59:03.679511,10
73,841619,2022-03-29 08:59:04.527085,10
74,699795,2022-03-29 08:59:05.385302,10
67,127226,2022-03-29 08:59:07.812732,10
47,335395,2022-03-29 08:59:10.020906,10
44,364265,2022-03-29 08:59:11.049772,10
49,18963,2022-03-29 08:59:11.704426,10
62,802798,2022-03-29 08:59:12.488305,10
78,468883,2022-03-29 08:59:13.154349,10
81,310496,2022-03-29 08:59:13.995956,10
77,110783,2022-03-29 08:59:14.796236,10
76,954272,2022-03-29 08:59:15.639804,10
76,662443,2022-03-29 08:59:16.308360,10
76,479501,2022-03-29 08:59:17.125418,10
76,282294,2022-03-29 08:59:17.928216,10
76,143861,2022-03-29 08:59:18.789830,10
77,767137,2022-03-29 08:59:19.413054,10
78,550127,2022-03-29 08:59:20.196097,10
78,835461,2022-03-29 08:59:21.037603,10
83,497586,2022-03-29 08:59:21.699733,10
78,278439,2022-03-29 08:59:22.480523,10
80,980081,2022-03-29 08:59:23.182144,10
80,809577,2022-03-29 08:59:24.011726,10
76,608975,2022-03-29 08:59:24.811115,10
75,838814,2022-03-29 08:59:25.657339,10
70,763037,2022-03-29 08:59:26.581565,9
74,442119,2022-03-29 08:59:27.260649,10
74,219178,2022-03-29 08:59:28.037651,10
73,146800,2022-03-29 08:59:28.965331,10
79,804989,2022-03-29 08:59:29.623453,10
76,806986,2022-03-29 08:59:30.433724,9
75,607461,2022-03-29 08:59:31.234170,10
83,228437,2022-03-29 08:59:31.855457,10
71,618647,2022-03-29 08:59:33.245325,9
58,287110,2022-03-29 08:59:35.913864,9
58,100953,2022-03-29 08:59:36.727640,10
46,369437,2022-03-29 08:59:37.996147,10
55,113495,2022-03-29 08:59:38.740193,10
73,628192,2022-03-29 08:59:39.374421,10
79,240041,2022-03-29 08:59:39.986281,10
86,59229,2022-03-29 08:59:40.805458,10
85,840702,2022-03-29 08:59:41.586936,10
80,606290,2022-03-29 08:59:42.352519,10
81,206093,2022-03-29 08:59:42.952279,10
85,658682,2022-03-29 08:59:43.616191,10
73,46788,2022-03-29 08:59:46.004300,10
70,911564,2022-03-29 08:59:46.869072,10
60,951911,2022-03-29 08:59:47.909378,10
67,454696,2022-03-29 08:59:48.412149,10
72,758879,2022-03-29 08:59:49.716336,10
78,655140,2022-03-29 08:59:50.377815,10
81,479299,2022-03-29 08:59:51.202017,10
77,61577,2022-03-29 08:59:51.784295,10
76,515089,2022-03-29 08:59:53.237804,10
76,146637,2022-03-29 08:59:53.869360,10
75,28904,2022-03-29 08:59:54.751550,10
82,458143,2022-03-29 08:59:55.215849,9
94,99091,2022-03-29 08:59:55.856794,9
88,4396,2022-03-29 08:59:56.762094,10
91,781372,2022-03-29 08:59:57.539016,10
82,424087,2022-03-29 08:59:58.181743,9
76,258005,2022-03-29 08:59:59.015654,10
76,937394,2022-03-29 08:59:59.960115,10
80,569883,2022-03-29 09:00:00.592611,10
76,355485,2022-03-29 09:00:01.378215,10
78,74257,2022-03-29 09:00:02.096985,10
87,699165,2022-03-29 09:00:02.721882,10
79,622085,2022-03-29 09:00:03.644863,9
80,736069,2022-03-29 09:00:04.386665,9
78,559140,2022-03-29 09:00:05.209624,10
73,319458,2022-03-29 09:00:05.969957,10
78,43309,2022-03-29 09:00:06.693846,10
84,605694,2022-03-29 09:00:07.256180,10
83,488636,2022-03-29 09:00:08.139723,10
81,839111,2022-03-29 09:00:08.987814,10
79,636280,2022-03-29 09:00:09.785055,10
72,393680,2022-03-29 09:00:10.542397,10
79,16429,2022-03-29 09:00:11.165132,10
81,784311,2022-03-29 09:00:11.933086,11
80,628722,2022-03-29 09:00:12.777494,10
85,610868,2022-03-29 09:00:13.395850,9
76,616183,2022-03-29 09:00:14.401207,10
81,217776,2022-03-29 09:00:15.002758,10
84,945235,2022-03-29 09:00:15.730217,10
78,767562,2022-03-29 09:00:16.552533,10
82,568665,2022-03-29 09:00:17.353687,10
77,739787,2022-03-29 09:00:18.101263,9
65,316520,2022-03-29 09:00:19.678002,10
76,836780,2022-03-29 09:00:20.198216,10
68,298773,2022-03-29 09:00:21.660194,10
59,645434,2022-03-29 09:00:23.006873,10
59,189141,2022-03-29 09:00:24.550565,9
36,487955,2022-03-29 09:00:27.044090,10
35,166246,2022-03-29 09:00:28.722444,10
68,494990,2022-03-29 09:00:29.051612,10
116,765316,2022-03-29 09:00:29.321471,10
124,804417,2022-03-29 09:00:30.360618,10
131,705805,2022-03-29 09:00:31.262002,11
117,219772,2022-03-29 09:00:31.775918,10
80,952252,2022-03-29 09:00:32.508454,10
86,685285,2022-03-29 09:00:33.241444,10
87,558201,2022-03-29 09:00:34.114406,10
78,267716,2022-03-29 09:00:34.823839,10
84,835541,2022-03-29 09:00:35.391700,10
73,743854,2022-03-29 09:00:37.141329,10
84,260041,2022-03-29 09:00:37.657519,10
79,205315,2022-03-29 09:00:38.602787,10
64,529441,2022-03-29 09:00:39.926917,10
76,247155,2022-03-29 09:00:40.644559,9
63,176828,2022-03-29 09:00:41.574260,10
67,760250,2022-03-29 09:00:42.339879,10
80,386289,2022-03-29 09:00:42.965959,10
78,175490,2022-03-29 09:00:43.755101,9
78,82221,2022-03-29 09:00:44.661890,11
83,712325,2022-03-29 09:00:45.291946,9
75,608907,2022-03-29 09:00:46.188583,10
67,479493,2022-03-29 09:00:47.676661,10
69,272583,2022-03-29 09:00:48.469796,9
61,185089,2022-03-29 09:00:49.382254,10
62,67009,2022-03-29 09:00:50.264164,11
71,823218,2022-03-29 09:00:51.020358,10
69,731178,2022-03-29 09:00:51.928332,10
75,186509,2022-03-29 09:00:56.121434,10
67,912926,2022-03-29 09:00:57.847680,10
70,582330,2022-03-29 09:00:58.517012,10
70,437628,2022-03-29 09:00:59.372379,10
65,330197,2022-03-29 09:01:00.264943,10
76,81829,2022-03-29 09:01:01.016532,10
