hr,seconds,timestamp,process
214,867953,2022-03-29 09:30:27.295553,0
75,905359,2022-03-29 09:30:27.332963,0
125,27207,2022-03-29 09:30:27.454815,0
150,103197,2022-03-29 09:30:27.530804,0
136,364056,2022-03-29 09:30:27.791655,0
125,385627,2022-03-29 09:30:27.813231,0
107,421646,2022-03-29 09:30:27.849248,0
65,546032,2022-03-29 09:30:27.973637,0
78,623214,2022-03-29 09:30:28.050815,0
93,878783,2022-03-29 09:30:28.306390,0
88,172413,2022-03-29 09:30:29.600011,0
93,176447,2022-03-29 09:30:29.604041,0
107,180249,2022-03-29 09:30:29.607844,0
166,945672,2022-03-29 09:30:32.555088,0
187,16245,2022-03-29 09:30:32.625658,0
166,54359,2022-03-29 09:30:32.663769,0
187,222593,2022-03-29 09:30:32.832006,0
166,259672,2022-03-29 09:30:32.869086,0
187,308231,2022-03-29 09:30:32.917644,0
166,382262,2022-03-29 09:30:32.991670,0
150,520220,2022-03-29 09:30:33.129634,0
166,624894,2022-03-29 09:30:33.234311,0
187,741933,2022-03-29 09:30:33.351343,0
166,943942,2022-03-29 09:30:33.553358,0
150,982198,2022-03-29 09:30:33.591605,0
136,146047,2022-03-29 09:30:33.755456,0
166,229582,2022-03-29 09:30:33.838999,0
150,299566,2022-03-29 09:30:33.908977,0
115,382336,2022-03-29 09:30:33.991745,0
107,466125,2022-03-29 09:30:34.075534,0
100,503077,2022-03-29 09:30:34.112492,0
136,543183,2022-03-29 09:30:34.152593,0
125,577590,2022-03-29 09:30:34.186998,0
136,621616,2022-03-29 09:30:34.231028,0
115,663407,2022-03-29 09:30:34.272815,0
107,746981,2022-03-29 09:30:34.356397,0
93,778704,2022-03-29 09:30:34.388116,0
136,927776,2022-03-29 09:30:34.537191,0
125,32617,2022-03-29 09:30:34.642034,0
100,63300,2022-03-29 09:30:34.672706,0
115,108317,2022-03-29 09:30:34.717724,0
107,359196,2022-03-29 09:30:34.968610,0
136,429476,2022-03-29 09:30:35.038893,0
125,464115,2022-03-29 09:30:35.073526,0
166,548017,2022-03-29 09:30:35.157430,0
150,586190,2022-03-29 09:30:35.195597,0
166,630430,2022-03-29 09:30:35.239838,0
187,788067,2022-03-29 09:30:35.397481,0
166,825960,2022-03-29 09:30:35.435368,0
150,72513,2022-03-29 09:30:35.681925,0
136,105274,2022-03-29 09:30:35.714682,0
93,511203,2022-03-29 09:30:36.120619,0
88,793943,2022-03-29 09:30:36.403352,0
83,914013,2022-03-29 09:30:36.523422,0
107,996129,2022-03-29 09:30:36.605542,0
88,111851,2022-03-29 09:30:36.721266,0
62,379840,2022-03-29 09:30:41.103954,0
39,383102,2022-03-29 09:30:41.107213,0
18,386105,2022-03-29 09:30:41.110213,0
34,403337,2022-03-29 09:30:41.127450,0
35,491435,2022-03-29 09:30:41.215551,0
51,573808,2022-03-29 09:30:41.297932,0
50,614863,2022-03-29 09:30:41.338984,0
35,652522,2022-03-29 09:30:41.376638,0
150,60799,2022-03-29 09:30:45.440001,0
136,137370,2022-03-29 09:30:45.516573,0
166,169828,2022-03-29 09:30:45.549025,0
150,384281,2022-03-29 09:30:45.763478,0
115,856010,2022-03-29 09:30:46.235219,0
125,978015,2022-03-29 09:30:46.357218,0
150,50067,2022-03-29 09:30:46.429263,0
125,500955,2022-03-29 09:30:46.880156,0
100,145164,2022-03-29 09:30:48.524367,0
75,344519,2022-03-29 09:30:48.723718,0
33,585220,2022-03-29 09:30:48.964423,0
32,707861,2022-03-29 09:30:49.087066,0
34,785406,2022-03-29 09:30:49.164609,0
48,860885,2022-03-29 09:30:49.240083,0
39,942648,2022-03-29 09:30:49.321852,0
48,58643,2022-03-29 09:30:53.383452,0
44,418125,2022-03-29 09:30:53.742940,0
68,453277,2022-03-29 09:30:53.778081,0
83,898488,2022-03-29 09:30:54.223304,0
115,58085,2022-03-29 09:30:54.382900,0
125,510044,2022-03-29 09:30:54.834863,0
93,144353,2022-03-29 09:30:55.469167,0
88,343060,2022-03-29 09:30:55.667872,0
19,946865,2022-03-29 09:30:56.271673,0
36,148868,2022-03-29 09:30:56.473683,0
35,261752,2022-03-29 09:30:56.586565,0
36,316028,2022-03-29 09:30:56.640838,0
250,623886,2022-03-29 09:30:56.948696,0
136,787867,2022-03-29 09:30:57.112679,0
250,907013,2022-03-29 09:30:57.231822,0
75,507240,2022-03-29 09:30:57.832049,0
68,630726,2022-03-29 09:30:57.955532,0
65,708046,2022-03-29 09:30:58.032856,0
71,831044,2022-03-29 09:30:58.155852,0
107,277264,2022-03-29 09:31:00.602069,0
83,301008,2022-03-29 09:31:00.625813,0
68,319553,2022-03-29 09:31:00.644357,0
93,761168,2022-03-29 09:31:01.085983,0
68,413506,2022-03-29 09:31:01.738321,0
136,923171,2022-03-29 09:31:02.247980,0
125,999919,2022-03-29 09:31:02.324730,0
93,46218,2022-03-29 09:31:02.371028,0
38,297931,2022-03-29 09:31:02.622746,0
37,398963,2022-03-29 09:31:02.723769,0
39,442382,2022-03-29 09:31:02.767191,0
60,497227,2022-03-29 09:31:02.822042,0
78,696910,2022-03-29 09:31:03.021717,0
60,889615,2022-03-29 09:31:03.214430,0
50,919857,2022-03-29 09:31:03.244665,0
57,47034,2022-03-29 09:31:03.371842,0
78,222426,2022-03-29 09:31:08.597102,0
75,252017,2022-03-29 09:31:08.626689,0
78,258601,2022-03-29 09:31:08.633272,0
100,267396,2022-03-29 09:31:08.642064,0
93,276251,2022-03-29 09:31:08.650920,0
100,279331,2022-03-29 09:31:08.653998,0
136,297632,2022-03-29 09:31:08.672305,0
125,309915,2022-03-29 09:31:08.684586,0
150,317189,2022-03-29 09:31:08.691862,0
136,325055,2022-03-29 09:31:08.699725,0
115,366560,2022-03-29 09:31:08.741232,0
53,453657,2022-03-29 09:31:08.828334,0
300,854608,2022-03-29 09:31:09.229283,0
250,896262,2022-03-29 09:31:09.270939,0
150,931836,2022-03-29 09:31:09.306513,0
187,64463,2022-03-29 09:31:09.439197,0
250,175111,2022-03-29 09:31:09.549790,0
214,213915,2022-03-29 09:31:09.588590,0
166,254053,2022-03-29 09:31:09.628731,0
187,378174,2022-03-29 09:31:09.752853,0
214,497295,2022-03-29 09:31:09.871972,0
187,534623,2022-03-29 09:31:09.909300,0
214,824763,2022-03-29 09:31:10.199437,0
187,899842,2022-03-29 09:31:10.274523,0
150,54980,2022-03-29 09:31:10.429652,0
136,302677,2022-03-29 09:31:10.677356,0
125,335695,2022-03-29 09:31:10.710373,0
150,587322,2022-03-29 09:31:10.962004,0
136,626304,2022-03-29 09:31:11.000984,0
38,46135,2022-03-29 09:31:15.049849,0
24,124741,2022-03-29 09:31:15.128458,0
45,772413,2022-03-29 09:31:15.776129,0
31,304227,2022-03-29 09:31:16.307942,0
29,491221,2022-03-29 09:31:16.494936,0
46,978481,2022-03-29 09:31:16.982202,0
136,609139,2022-03-29 09:31:21.594097,0
150,612504,2022-03-29 09:31:21.597457,0
100,653852,2022-03-29 09:31:21.638808,0
16,13901,2022-03-29 09:31:22.998867,0
78,734348,2022-03-29 09:31:23.719308,0
83,814428,2022-03-29 09:31:23.799385,0
78,849672,2022-03-29 09:31:23.834632,0
65,894555,2022-03-29 09:31:23.879511,0
300,110401,2022-03-29 09:31:24.095358,0
250,135371,2022-03-29 09:31:24.120334,0
71,260847,2022-03-29 09:31:24.245813,0
88,497958,2022-03-29 09:31:24.482925,0
100,608303,2022-03-29 09:31:24.593261,0
88,182012,2022-03-29 09:31:25.166979,0
37,435470,2022-03-29 09:31:25.420427,0
36,536702,2022-03-29 09:31:25.521665,0
39,575849,2022-03-29 09:31:25.560811,0
68,613643,2022-03-29 09:31:25.598606,0
39,739487,2022-03-29 09:31:25.724451,0
65,819607,2022-03-29 09:31:25.804571,0
39,855023,2022-03-29 09:31:25.839982,0
62,896117,2022-03-29 09:31:25.881081,0
60,938429,2022-03-29 09:31:25.923387,0
55,981033,2022-03-29 09:31:25.965999,0
125,69668,2022-03-29 09:31:30.038545,0
100,374679,2022-03-29 09:31:30.343549,0
32,97436,2022-03-29 09:31:31.066305,0
78,455231,2022-03-29 09:31:31.424103,0
40,534482,2022-03-29 09:31:31.503351,0
48,733999,2022-03-29 09:31:31.702876,0
40,814393,2022-03-29 09:31:31.783272,0
26,898903,2022-03-29 09:31:31.867776,0
37,978247,2022-03-29 09:31:31.947126,0
88,46649,2022-03-29 09:31:35.996942,0
55,172002,2022-03-29 09:31:36.122299,0
53,292463,2022-03-29 09:31:36.242760,0
55,329286,2022-03-29 09:31:36.279576,0
40,404171,2022-03-29 09:31:36.354461,0
55,529361,2022-03-29 09:31:36.479650,0
125,56983,2022-03-29 09:31:40.539640,0
93,678659,2022-03-29 09:31:42.161313,0
78,746822,2022-03-29 09:31:42.229482,0
71,343727,2022-03-29 09:31:42.826391,0
88,26007,2022-03-29 09:31:43.508668,0
18,264348,2022-03-29 09:31:43.747009,0
