hr,seconds,timestamp,process
107,177504,2022-03-29 09:03:43.397585,0
300,294222,2022-03-29 09:04:14.263568,0
107,573333,2022-03-29 09:04:15.542686,0
55,647581,2022-03-29 09:04:15.616927,0
62,890016,2022-03-29 09:04:15.859359,0
78,175559,2022-03-29 09:04:16.144910,0
62,208690,2022-03-29 09:04:16.178035,0
51,818861,2022-03-29 09:04:16.788211,0
136,52447,2022-03-29 09:04:20.844766,0
88,163551,2022-03-29 09:04:20.955866,0
83,240381,2022-03-29 09:04:21.032697,0
62,325195,2022-03-29 09:04:21.117514,0
78,398930,2022-03-29 09:04:21.191241,0
75,523804,2022-03-29 09:04:21.316120,0
166,59548,2022-03-29 09:04:25.379026,0
71,212172,2022-03-29 09:04:25.531641,0
93,546569,2022-03-29 09:04:25.866045,0
78,614128,2022-03-29 09:04:25.933597,0
83,907200,2022-03-29 09:04:26.226677,0
71,930156,2022-03-29 09:04:26.249623,0
60,67493,2022-03-29 09:04:30.319264,0
75,133241,2022-03-29 09:04:30.385008,0
60,169940,2022-03-29 09:04:30.421702,0
83,583097,2022-03-29 09:04:30.834866,0
78,655549,2022-03-29 09:04:30.907319,0
83,862843,2022-03-29 09:04:31.114616,0
166,52054,2022-03-29 09:04:35.171719,0
150,410673,2022-03-29 09:04:35.530345,0
65,695108,2022-03-29 09:04:35.814778,0
55,764942,2022-03-29 09:04:35.884604,0
150,804251,2022-03-29 09:04:35.923913,0
115,22230,2022-03-29 09:04:36.141901,0
107,167981,2022-03-29 09:04:36.287644,0
65,202369,2022-03-29 09:04:36.322030,0
68,534630,2022-03-29 09:04:36.654300,0
65,604054,2022-03-29 09:04:36.723715,0
51,642288,2022-03-29 09:04:36.761949,0
68,810421,2022-03-29 09:04:36.930090,0
107,57919,2022-03-29 09:04:40.991278,0
68,132770,2022-03-29 09:04:41.066124,0
75,164548,2022-03-29 09:04:41.097896,0
100,204881,2022-03-29 09:04:41.138229,0
93,285586,2022-03-29 09:04:41.218938,0
75,366832,2022-03-29 09:04:41.300180,0
88,421225,2022-03-29 09:04:41.354581,0
83,49063,2022-03-29 09:04:45.406338,0
88,121739,2022-03-29 09:04:45.479008,0
83,195661,2022-03-29 09:04:45.552927,0
78,283536,2022-03-29 09:04:45.640807,0
100,528770,2022-03-29 09:04:45.886044,0
93,556623,2022-03-29 09:04:45.913887,0
100,64287,2022-03-29 09:04:49.980235,0
107,304303,2022-03-29 09:04:50.220249,0
100,421263,2022-03-29 09:04:50.337212,0
93,501788,2022-03-29 09:04:50.417732,0
100,619302,2022-03-29 09:04:50.535255,0
93,345575,2022-03-29 09:04:51.261523,0
115,62726,2022-03-29 09:04:55.327457,0
100,493880,2022-03-29 09:04:55.758617,0
88,854655,2022-03-29 09:04:56.119386,0
78,882010,2022-03-29 09:04:56.146738,0
107,739877,2022-03-29 09:04:58.004611,0
83,382890,2022-03-29 09:04:58.647619,0
78,670342,2022-03-29 09:04:58.935080,0
53,982948,2022-03-29 09:04:59.247676,0
40,382676,2022-03-29 09:04:59.647406,0
83,628944,2022-03-29 09:04:59.893683,0
78,355529,2022-03-29 09:05:02.620264,0
83,425905,2022-03-29 09:05:02.690641,0
107,510999,2022-03-29 09:05:02.775728,0
100,78159,2022-03-29 09:05:03.342897,0
71,398638,2022-03-29 09:05:03.663368,0
60,478001,2022-03-29 09:05:03.742739,0
53,841900,2022-03-29 09:05:04.106637,0
60,869512,2022-03-29 09:05:04.134240,0
78,997117,2022-03-29 09:05:04.261852,0
107,57788,2022-03-29 09:05:08.322978,0
100,84991,2022-03-29 09:05:08.350173,0
88,126092,2022-03-29 09:05:08.391271,0
93,218691,2022-03-29 09:05:08.483873,0
83,371629,2022-03-29 09:05:08.636815,0
78,576056,2022-03-29 09:05:08.841244,0
83,51158,2022-03-29 09:05:12.895663,0
75,255333,2022-03-29 09:05:14.099838,0
38,93834,2022-03-29 09:05:14.938343,0
57,211296,2022-03-29 09:05:15.055801,0
93,376140,2022-03-29 09:05:15.220647,0
78,407520,2022-03-29 09:05:15.252023,0
83,776191,2022-03-29 09:05:15.620700,0
